outer_x,outer_y,outer_z,inner_x,inner_y,inner_z,track_width,initial_x,initial_y,initial_z,initial_position
605044.4162186278,5805655.619268144,5.970566982,605034.8728824016,5805659.288712179,4.921354171,10.22652678,605041.548658424,5805656.721851579,5.655301883,0.300477745
605044.0359274418,5805654.684400945,5.949019375,605034.5239409097,5805658.373886085,4.91195543,10.20449768,605041.1870539385,5805655.78940166,5.638414856,0.299503729
605043.6556032777,5805653.750532999,5.927918339,605034.1740001589,5805657.459027012,4.902509653,10.18308087,605040.8240541888,5805654.858006078,5.621693798,0.298636578
605043.2762783676,5805652.81669803,5.906203282999999,605033.8240923809,5805656.5431686845,4.893093101,10.16226574,605040.4594957965,5805653.927159272,5.6042929379999995,0.298003465
605042.8969204796,5805651.883862319,5.88560794,605033.4741846004,5805655.6273103645,4.884475465,10.14112543,605040.0936454635,5805652.99757028,5.587770358999999,0.297500669
605042.5165633328,5805650.950993638,5.864116113,605033.1243427678,5805654.709453528,4.875630978,10.11833554,605039.7260230462,5805652.067722744,5.570425224,0.297112095
605042.1372054394,5805650.018157933,5.84178291,605032.7734687009,5805653.792562977,4.867827392,10.09784234,605039.3570486327,5805651.138830942,5.552608581,0.296907121
605041.7578475435,5805649.085322229,5.819942162,605032.4226605821,5805652.873673915,4.859404866,10.07660032,605038.9863489008,5805650.210082271,5.53477106,0.29688706800000003
605041.3784896451,5805648.152486526,5.7988528079999995,605032.0718194856,5805651.955784109,4.851256315,10.05582244,605038.6141905518,5805649.282185783,5.5173948589999995,0.29702299600000004
605040.9990987687,5805647.220650088,5.776043995,605031.7200450803,5805651.035862822,4.843641104,10.0347845,605038.2404003149,5805648.35493568,5.498836904,0.297303981
605040.6197078897,5805646.288813645,5.75353113,605031.3682706726,5805650.115941536,4.835701055,10.01379274,605037.8648749668,5805647.428428603,5.48022601,0.297773115
605040.24134924,5805645.356010927,5.730673955,605031.0174955189,5805649.196053221,4.828170707,9.99326198,605037.4874812068,5805646.502460077,5.4612235039999995,0.298558982
605039.8619583558,5805644.424174492,5.706981373,605030.6657540811,5805648.275132681,4.821399681,9.971948907,605037.1081591795,5805645.577328229,5.441794464,0.299449403
605039.482534494,5805643.493337314,5.682888051,605030.3130133847,5805647.354179169,4.814765191,9.951169027,605036.727225449,5805644.653443642,5.422029965,0.30048521699999997
605039.1041428611,5805642.561533857,5.65827381,605029.9613049172,5805646.432259375,4.808450077,9.930427231,605036.3447029988,5805643.729806736,5.401785202,0.301813891
