inner_x,inner_y,inner_z,outer_x,outer_y,outer_z
710944.6801,5592023.035,390.6799927,710949.5132,5592031.114,390.8399963
710947.3227,5592021.456,390.9200134,710952.2898,5592029.485,391.1300049
710949.9351,5592019.802,391.1700134,710955.0648,5592027.857,391.4299927
710952.6422,5592018.087,391.4299927,710957.8123,5592026.245,391.6700134
710955.3822,5592016.369,391.8099976,710960.551,5592024.638,392.0299988
710958.1228,5592014.681,392.1900024,710963.2506,5592022.96,392.4100037
710960.6797,5592013.106,392.6141357,710965.9076,5592021.091,392.7200012
710963.0003,5592011.511,392.7900085,710968.6007,5592019.197,393.1700134
710965.3885,5592009.689,393.25,710971.2537,5592017.332,393.6499939
710967.7544,5592007.883,393.5899963,710973.9192,5592015.457,393.9200134
710969.9543,5592005.996,394.0526123,710976.4929,5592013.42,394.4599915
710972.2738,5592003.922,394.40271,710978.7934,5592011.174,394.8500061
710974.5036,5592001.928,394.9613953,710981.1179,5592008.904,395.2049866
710976.4609,5591999.982,395.3734131,710983.4872,5592006.591,395.730011
710978.4274,5591997.77,395.6700134,710985.7102,5592004.212,396.1900024
710980.4962,5591995.444,396.3649902,710987.7582,5592001.74,396.669281
710982.2699,5591993.368,396.6799927,710989.8387,5591999.157,397.1864929
710983.8618,5591991.06,397.1350098,710991.739,5591996.465,397.7799988
710985.67,5591988.438,397.6700134,710993.5759,5591993.862,398.1600037
710987.4293,5591985.888,398.0050049,710995.4279,5591991.239,398.5899963
710989.0117,5591983.474,398.5700073,710997.3186,5591988.561,399.1400146
710990.4972,5591980.898,398.8500061,710999.2019,5591985.893,399.4899902
710992.088,5591978.14,399.4500122,711000.9248,5591983.21,400.0700073
710993.6789,5591975.382,399.8200073,711002.4085,5591980.39,400.4750061
710995.2095,5591972.728,400.6400146,711003.9116,5591977.533,400.9750061
710996.6409,5591970.046,400.9299927,711005.4172,5591974.672,401.5171509
710998.1114,5591967.249,401.5,711006.9035,5591971.847,401.980011
710999.5031,5591964.601,401.9500122,711008.4169,5591968.97,402.4599915
711000.7331,5591961.93,402.2749939,711009.6875,5591965.961,402.9400024
711002.006,5591959.066,402.7099915,711010.9054,5591963.001,403.3500061
711003.2989,5591956.156,403.2999878,711012.1172,5591960.056,403.7799988
711004.5301,5591953.386,403.8999939,711013.3459,5591957.069,404.4400024
711005.5787,5591950.737,404.3500061,711014.5937,5591954.037,404.769989
711006.5466,5591947.893,404.7200012,711015.5981,5591950.959,405.1799927
711007.5723,5591944.88,405.1600037,711016.5094,5591947.907,405.5700073
711008.5824,5591941.912,405.6300049,711017.4244,5591944.843,406
711009.4457,5591939.273,405.8898926,711018.3641,5591941.696,406.3817139
711010.0527,5591936.517,406.3450012,711019.2318,5591938.536,406.7799988
711010.7358,5591933.416,406.7900085,711019.944,5591935.431,407.2149963
711011.4047,5591930.367,407.0799866,711020.6597,5591932.312,407.5899963
711012.0257,5591927.305,407.5650024,711021.3754,5591929.193,407.9400024
711012.6583,5591924.186,407.9599915,711022.075,5591926.088,408.3053589
711013.291,5591921.067,408.4299927,711022.5858,5591922.944,408.5849915
711013.8868,5591918.129,408.7149963,711023.1045,5591919.752,408.8599854
711014.3311,5591915.185,409.0499878,711023.6237,5591916.556,409.1849976
711014.7859,5591912.056,409.5549927,711024.1351,5591913.409,409.4100037
