outer_x,outer_y,outer_z,inner_x,inner_y,inner_z
592646.4416972629,5770296.599036041,0.0,592648.4065474537,5770293.934044271,0.0
592633.5798633433,5770287.152968922,0.0,592635.4850412135,5770284.571728412,0.0
592620.7164572508,5770277.706610503,0.0,592622.5605578128,5770275.208331827,0.0
592607.9321395254,5770268.324577151,0.0,592609.7202409526,5770265.90170453,0.0
592595.1018932412,5770258.90860734,0.0,592596.9025460569,5770256.468536243,0.0
592582.3338736312,5770249.539201658,0.0,592584.1522620963,5770247.078393202,0.0
592569.7142215294,5770240.0569629995,0.0,592571.4518843067,5770237.725247407,0.0
592559.359472579,5770232.326934976,0.0,592560.8800111127,5770229.9307152955,0.0
592550.8058062327,5770227.6883624485,0.0,592552.4250461813,5770224.014019119,0.0
592545.8521682479,5770225.809011068,0.0,592547.599115128,5770220.694039417,0.0
592539.5704026415,5770225.192960404,0.0,592541.1075137093,5770219.095544413,0.0
592531.5307735925,5770225.14814731,0.0,592533.2668375514,5770219.357658784,0.0
592527.3073378449,5770224.008675645,0.0,592529.9912176764,5770218.769883787,0.0
592523.0882357644,5770221.591380419,0.0,592526.8034859108,5770217.22266774,0.0
592519.9301147268,5770217.77815001,0.0,592524.6223182662,5770214.848852507,0.0
592517.7976142316,5770212.60794138,0.0,592523.364723581,5770211.476856278,0.0
592517.3406483908,5770207.181621687,0.0,592523.2007239423,5770207.956162802,0.0
592518.769047111,5770202.478107705,0.0,592524.2366600288,5770204.624851512,0.0
592523.0271956897,5770196.717228547,0.0,592528.4655592716,5770199.922127701,0.0
592528.3849062464,5770192.060828755,0.0,592532.323430184,5770194.21636006,0.0
592532.5657306622,5770184.286514127,0.0,592535.4203231581,5770185.431533053,0.0
592537.2058324269,5770170.523044915,0.0,592539.7860628039,5770171.432280513,0.0
592542.1476997472,5770156.701736009,0.0,592545.0701684857,5770157.77530418,0.0
592547.4019904402,5770143.424039951,0.0,592550.3451606475,5770144.742301783,0.0
592553.0577101484,5770130.38526234,0.0,592556.1803758722,5770131.811892177,0.0
592558.2471730779,5770119.829595689,0.0,592561.1733986518,5770121.372365665,0.0
592564.4969750592,5770109.979865647,0.0,592567.0341955567,5770111.913084629,0.0
592570.1720842317,5770102.357115923,0.0,592572.6020701395,5770104.336948906,0.0
592577.9989255907,5770093.515911452,0.0,592581.9675738554,5770096.44834056,0.0
592585.213884575,5770083.363715002,0.0,592589.9473712532,5770086.738910703,0.0
592594.4219478117,5770070.51751091,0.0,592599.0602748037,5770073.838097978,0.0
592603.7587215214,5770057.49205321,0.0,592608.3374231893,5770060.770429102,0.0
592613.1773927789,5770044.352322805,0.0,592617.6620655808,5770047.563324075,0.0
592622.5925651984,5770031.2173247505,0.0,592626.983508443,5770034.361943618,0.0
592631.9386428589,5770018.116471874,0.0,592636.3131663618,5770021.227111474,0.0
592641.2845470646,5770004.800907464,0.0,592645.7692879147,5770007.980432137,0.0
592650.6505782034,5769991.460337553,0.0,592655.2398728993,5769994.714838762,0.0
592659.9826514008,5769978.16729552,0.0,592664.674186322,5769981.494878819,0.0
592669.3380526206,5769964.841768842,0.0,592674.0829425111,5769968.206814196,0.0
592678.6797248981,5769951.535508654,0.0,592683.4811322517,5769954.94104777,0.0
592688.0404891643,5769938.202800489,0.0,592692.9291792397,5769941.6695242,0.0
592697.3048725504,5769925.006607947,0.0,592702.272856355,5769928.530146084,0.0
592706.5978286397,5769911.751773449,0.0,592711.5076425887,5769915.233999608,0.0
592715.7998032832,5769898.622349547,0.0,592720.737778066,5769902.124527593,0.0
592725.1548867386,5769885.274104919,0.0,592730.2199643998,5769888.866336631,0.0
592734.5305276407,5769871.958202303,0.0,592739.6715696128,5769875.604371519,0.0
592743.9455165954,5769858.654582237,0.0,592749.1005135056,5769862.310874134,0.0
592753.3423094122,5769845.377605424,0.0,592758.5117768849,5769849.044231233,0.0
592762.684195701,5769832.378225964,0.0,592767.7861180487,5769835.997222952,0.0
592772.3039922903,5769819.214132086,0.0,592777.2319563589,5769822.7090770835,0.0
592781.8755101499,5769806.117456233,0.0,592786.6287029668,5769809.489240251,0.0
592791.3622306582,5769793.083845198,0.0,592796.0510626717,5769796.409393525,0.0
592800.8322944103,5769779.840763879,0.0,592805.579166762,5769783.201512131,0.0
592810.1545550382,5769766.807280218,0.0,592814.9358436633,5769770.22090526,0.0
592819.335348196,5769754.227153339,0.0,592824.1442572224,5769757.999146327,0.0
592829.0160191072,5769741.346455893,0.0,592833.8494624178,5769745.2099835705,0.0
592838.1883027124,5769729.35271741,0.0,592843.0030310402,5769733.1914564995,0.0
592848.1847692219,5769716.878311374,0.0,592852.9671222257,5769720.692115661,0.0
592858.2211083401,5769704.350534635,0.0,592862.9663031595,5769708.134442444,0.0
592868.1272756532,5769692.195302174,0.0,592872.7328903183,5769695.867897437,0.0
592878.1563934344,5769680.107376957,0.0,592882.6859316524,5769683.726869593,0.0
592888.1790681572,5769668.035449733,0.0,592892.7759042052,5769671.640276264,0.0
