track_id,inner_x,inner_y,inner_z,outer_x,outer_y,outer_z,
2,334072.6847,5870972.896,11.625,334062.6359,5870977.553,12.17800045,
2,334075.0949,5870976.885,11.61600018,334064.9392,5870982.508,12.17500019,
2,334077.5563,5870980.959,11.69699955,334067.8356,5870986.954,12.11600018,
2,334080.1506,5870985.091,11.76599979,334070.6442,5870991.266,12.08899975,
2,334082.882,5870989.223,11.80799961,334073.3779,5870995.517,12.02799988,
2,334085.63,5870993.381,11.84399986,334076.0766,5870999.749,11.97799969,
2,334088.379,5870997.541,11.93900013,334078.7752,5871003.981,11.89799976,
2,334091.1227,5871001.692,11.99600029,334081.481,5871008.224,11.84000015,
2,334093.8919,5871005.83,12.06799984,334084.2365,5871012.424,11.75800037,
2,334096.701,5871010,12.14299965,334086.9555,5871016.554,11.70899963,
2,334099.5729,5871014.262,12.20199966,334089.5788,5871020.54,11.67700005,
2,334102.5409,5871018.667,12.22099972,334092.0819,5871024.343,11.68900013,
2,334104.791,5871023.632,12.25899982,334094.0946,5871028.207,11.68799973,
2,334106.8699,5871028.771,12.25599957,334095.3765,5871032.236,11.71800041,
2,334107.8638,5871034.264,12.23600006,334096.4543,5871036.255,11.70300007,
2,334108.862,5871039.78,12.26099968,334097.1277,5871040.358,11.74400043,
2,334108.4434,5871045.366,12.17599964,334097.1277,5871044.524,11.75500011,
2,334107.8838,5871050.911,12.20600033,334096.5423,5871048.65,11.72200012,
2,334106.2648,5871056.257,12.23400021,334095.4644,5871052.634,11.72200012,
2,334104.1498,5871061.479,12.26399994,334093.9209,5871056.334,11.73700047,
2,334101.7654,5871066.804,12.25,334092.1016,5871059.754,11.73799992,
2,334097.3661,5871070.745,12.24800014,334089.8818,5871062.845,11.77900028,
2,334092.9747,5871074.679,12.24800014,334087.0535,5871065.317,11.77299976,
2,334087.6047,5871077.285,12.28199959,334083.8284,5871067.119,11.75399971,
2,334081.7605,5871078.928,12.28999996,334080.345,5871067.91,11.74100018,
2,334075.5861,5871078.852,12.22500038,334076.9403,5871067.667,11.75,
2,334069.3098,5871078.026,12.27999973,334073.6764,5871066.908,11.74100018,
2,334064.3187,5871074.323,12.25599957,334070.8471,5871064.824,11.71000004,
2,334060.0991,5871070.385,12.22000027,334068.174,5871062.11,11.71800041,
2,334056.4298,5871066.351,12.20899963,334065.3773,5871058.928,11.70899963,
2,334053.351,5871062.126,12.15600014,334062.3225,5871055.451,11.71899986,
2,334050.3535,5871058.014,12.17099953,334059.2318,5871051.703,11.72599983,
2,334047.3911,5871053.949,12.15600014,334056.3519,5871047.676,11.75399971,
2,334044.5256,5871049.838,12.18799973,334053.4535,5871043.624,11.75300026,
2,334041.6746,5871045.712,12.17700005,334050.5567,5871039.574,11.82699966,
2,334038.8119,5871041.569,12.19400024,334047.6851,5871035.536,11.82400036,
2,334035.9325,5871037.401,12.21800041,334045.0331,5871031.392,11.82999992,
2,334033.1282,5871033.156,12.23200035,334042.3964,5871027.272,11.86800003,
2,334030.5277,5871028.781,12.24499989,334039.7603,5871023.153,11.93000031,
2,334027.9341,5871024.418,12.22500038,334037.1146,5871019.019,11.91499996,
2,334025.3452,5871020.062,12.25,334034.6827,5871014.743,11.95199966,
2,334022.8783,5871015.643,12.26500034,334032.268,5871010.45,11.96500015,
2,334020.5024,5871011.176,12.26299953,334029.8517,5871006.155,11.98999977,
2,334018.1248,5871006.706,12.28499985,334027.4365,5871001.861,12.01000023,
2,334015.7412,5871002.225,12.28499985,334025.1068,5870997.534,12.01399994,
2,334013.562,5870997.628,12.28600025,334023.0305,5870993.095,12.04300022,
2,334011.3839,5870993.024,12.28999996,334020.958,5870988.664,12.08199978,
2,334009.3266,5870988.364,12.26500034,334018.8921,5870984.23,12.08399963,
2,334007.3279,5870983.683,12.23400021,334016.9211,5870979.746,12.10499954,
2,334005.4472,5870978.969,12.22299957,334014.9416,5870975.243,12.12199974,
2,334003.681,5870974.238,12.19999981,334012.9956,5870970.692,12.14700031,
2,334001.9223,5870969.528,12.17099953,334011.0545,5870966.113,12.18599987,
2,334000.1637,5870964.817,12.16399956,334009.2296,5870961.488,12.2130003,
2,333998.3975,5870960.086,12.13399982,334007.5444,5870956.834,12.20699978,
2,333996.6484,5870955.325,12.11999989,334005.8664,5870952.2,12.22399998,
2,333995.1281,5870950.492,12.09200001,334004.2745,5870947.528,12.29399967,
2,333993.6215,5870945.703,12.0880003,334002.722,5870942.799,12.3409996,
2,333992.1323,5870940.979,12.11100006,334001.1497,5870938.01,12.34500027,
2,333990.6603,5870936.309,12.09599972,333999.5597,5870933.166,12.35000038,
2,333988.8953,5870931.775,12.08899975,333997.9586,5870928.289,12.36499977,
2,333987.0391,5870927.283,12.08899975,333996.0139,5870923.536,12.35599995,
2,333985.1776,5870922.778,12.08399963,333994.0465,5870918.805,12.36200047,
2,333983.0763,5870918.361,12.09700012,333991.9045,5870914.169,12.34799957,
2,333980.8725,5870913.983,12.10400009,333989.5869,5870909.63,12.3579998,
2,333978.6709,5870909.61,12.09899998,333987.2433,5870905.103,12.36100006,
2,333976.4736,5870905.245,12.10299969,333984.741,5870900.647,12.36400032,
2,333973.9556,5870901.062,12.09599972,333982.2373,5870896.188,12.35000038,
2,333971.3858,5870896.898,12.0880003,333979.7374,5870891.736,12.37800026,
2,333968.8058,5870892.718,12.0909996,333976.9758,5870887.465,12.33199978,
2,333966.135,5870888.572,12.08899975,333974.1653,5870883.25,12.36600018,
2,333963.3209,5870884.495,12.10299969,333971.3672,5870879.052,12.3579998,
2,333960.5052,5870880.388,12.09799957,333968.5754,5870874.881,12.3409996,
2,333957.6977,5870876.25,12.09300041,333965.7061,5870870.787,12.33199978,
2,333954.8864,5870872.107,12.08199978,333962.8405,5870866.697,12.31200027,
2,333952.0768,5870867.967,12.09899998,333959.973,5870862.605,12.3210001,
2,333949.2715,5870863.833,12.09000015,333957.1123,5870858.5,12.31999969,
2,333946.4706,5870859.705,12.10999966,333954.2773,5870854.368,12.31000042,
2,333943.6607,5870855.589,12.10200024,333951.4398,5870850.232,12.32199955,
2,333940.8115,5870851.498,12.12199974,333948.603,5870846.098,12.31700039,
2,333937.959,5870847.403,12.1239996,333945.7691,5870841.968,12.3210001,
2,333935.1032,5870843.303,12.10299969,333942.9384,5870837.842,12.30099964,
2,333932.2454,5870839.2,12.10200024,333940.1095,5870833.719,12.29699993,
